x0	x1	response
-5.0	-5.0	1.99680511182
-5.0	-4.6	1.9961741218
-5.0	-4.2	1.99519916903
-5.0	-3.8	1.99362959606
-5.0	-3.4	1.99097498954
-5.0	-3.0	1.98620743396
-5.0	-2.6	1.97698817915
-5.0	-2.2	1.95746190348
-5.0	-1.8	1.91142788294
-5.0	-1.4	1.79185926444
-5.0	-1.0	1.49840255591
-5.0	-0.6	1.1131334341
-5.0	-0.2	1.0
-5.0	0.2	1.0
-5.0	0.6	1.1131334341
-5.0	1.0	1.49840255591
-5.0	1.4	1.79185926444
-5.0	1.8	1.91142788294
-5.0	2.2	1.95746190348
-5.0	2.6	1.97698817915
-5.0	3.0	1.98620743396
-5.0	3.4	1.99097498954
-5.0	3.8	1.99362959606
-5.0	4.2	1.99519916903
-5.0	4.6	1.9961741218
-5.0	5.0	1.99680511182
-4.6	-5.0	1.9961741218
-4.6	-4.6	1.99554313179
-4.6	-4.2	1.99456817902
-4.6	-3.8	1.99299860605
-4.6	-3.4	1.99034399952
-4.6	-3.0	1.98557644394
-4.6	-2.6	1.97635718914
-4.6	-2.2	1.95683091346
-4.6	-1.8	1.91079689292
-4.6	-1.4	1.79122827442
-4.6	-1.0	1.49777156589
-4.6	-0.6	1.11250244408
-4.6	-0.2	0.999369009983
-4.6	0.2	0.999369009983
-4.6	0.6	1.11250244408
-4.6	1.0	1.49777156589
-4.6	1.4	1.79122827442
-4.6	1.8	1.91079689292
-4.6	2.2	1.95683091346
-4.6	2.6	1.97635718914
-4.6	3.0	1.98557644394
-4.6	3.4	1.99034399952
-4.6	3.8	1.99299860605
-4.6	4.2	1.99456817902
-4.6	4.6	1.99554313179
-4.6	5.0	1.9961741218
-4.2	-5.0	1.99519916903
-4.2	-4.6	1.99456817902
-4.2	-4.2	1.99359322625
-4.2	-3.8	1.99202365328
-4.2	-3.4	1.98936904675
-4.2	-3.0	1.98460149117
-4.2	-2.6	1.97538223637
-4.2	-2.2	1.95585596069
-4.2	-1.8	1.90982194015
-4.2	-1.4	1.79025332165
-4.2	-1.0	1.49679661312
-4.2	-0.6	1.11152749131
-4.2	-0.2	0.998394057213
-4.2	0.2	0.998394057213
-4.2	0.6	1.11152749131
-4.2	1.0	1.49679661312
-4.2	1.4	1.79025332165
-4.2	1.8	1.90982194015
-4.2	2.2	1.95585596069
-4.2	2.6	1.97538223637
-4.2	3.0	1.98460149117
-4.2	3.4	1.98936904675
-4.2	3.8	1.99202365328
-4.2	4.2	1.99359322625
-4.2	4.6	1.99456817902
-4.2	5.0	1.99519916903
-3.8	-5.0	1.99362959606
-3.8	-4.6	1.99299860605
-3.8	-4.2	1.99202365328
-3.8	-3.8	1.99045408031
-3.8	-3.4	1.98779947378
-3.8	-3.0	1.9830319182
-3.8	-2.6	1.9738126634
-3.8	-2.2	1.95428638772
-3.8	-1.8	1.90825236718
-3.8	-1.4	1.78868374868
-3.8	-1.0	1.49522704015
-3.8	-0.6	1.10995791834
-3.8	-0.2	0.996824484243
-3.8	0.2	0.996824484243
-3.8	0.6	1.10995791834
-3.8	1.0	1.49522704015
-3.8	1.4	1.78868374868
-3.8	1.8	1.90825236718
-3.8	2.2	1.95428638772
-3.8	2.6	1.9738126634
-3.8	3.0	1.9830319182
-3.8	3.4	1.98779947378
-3.8	3.8	1.99045408031
-3.8	4.2	1.99202365328
