PassengerId,Transported
2000,TRUE
2001,TRUE
2002,TRUE
2003,TRUE
2004,TRUE
2005,TRUE
2006,TRUE
2007,TRUE
2008,TRUE
2009,TRUE
2010,TRUE
2011,TRUE
2012,TRUE
2013,TRUE
2014,TRUE
2015,TRUE
2016,TRUE
2017,TRUE
2018,TRUE
2019,TRUE
2020,TRUE
2021,TRUE
2022,TRUE
2023,TRUE
2024,TRUE
2025,TRUE
2026,TRUE
2027,TRUE
2028,TRUE
2029,TRUE
2030,TRUE
2031,TRUE
2032,TRUE
2033,TRUE
2034,TRUE
2035,TRUE
2036,TRUE
2037,TRUE
2038,TRUE
2039,TRUE
2040,TRUE
2041,TRUE
2042,TRUE
2043,TRUE
2044,TRUE
2045,TRUE
2046,TRUE
2047,TRUE
2048,TRUE
2049,TRUE
2050,TRUE
2051,TRUE
2052,TRUE
2053,TRUE
2054,TRUE
2055,TRUE
2056,TRUE
2057,TRUE
2058,TRUE
2059,TRUE
2060,TRUE
2061,TRUE
2062,TRUE
2063,TRUE
2064,TRUE
2065,TRUE
2066,TRUE
2067,TRUE
2068,TRUE
2069,TRUE
2070,TRUE
2071,TRUE
2072,TRUE
2073,TRUE
2074,TRUE
2075,TRUE
2076,TRUE
2077,TRUE
2078,TRUE
2079,TRUE
2080,TRUE
2081,TRUE
2082,TRUE
2083,TRUE
2084,TRUE
2085,TRUE
2086,TRUE
2087,TRUE
2088,TRUE
2089,TRUE
2090,TRUE
2091,TRUE
2092,TRUE
2093,TRUE
2094,TRUE
2095,TRUE
2096,TRUE
2097,TRUE
2098,TRUE
2099,TRUE
2100,TRUE
2101,TRUE
2102,TRUE
2103,TRUE
2104,TRUE
2105,TRUE
2106,TRUE
2107,TRUE
2108,TRUE
2109,TRUE
2110,TRUE
2111,TRUE
2112,TRUE
2113,TRUE
2114,TRUE
2115,TRUE
2116,TRUE
2117,TRUE
2118,TRUE
2119,TRUE
2120,TRUE
2121,TRUE
2122,TRUE
2123,TRUE
2124,TRUE
2125,TRUE
2126,TRUE
2127,TRUE
2128,TRUE
2129,TRUE
2130,TRUE
2131,TRUE
2132,TRUE
2133,TRUE
2134,TRUE
2135,TRUE
2136,TRUE
2137,TRUE
2138,TRUE
2139,TRUE
2140,TRUE
2141,TRUE
2142,TRUE
2143,TRUE
2144,TRUE
2145,TRUE
2146,TRUE
2147,TRUE
2148,TRUE
2149,TRUE
2150,TRUE
2151,TRUE
2152,TRUE
2153,TRUE
2154,TRUE
2155,TRUE
2156,TRUE
2157,TRUE
2158,TRUE
2159,TRUE
2160,TRUE
2161,TRUE
2162,TRUE
2163,TRUE
2164,TRUE
2165,TRUE
2166,TRUE
2167,TRUE
2168,TRUE
2169,TRUE
2170,TRUE
2171,TRUE
2172,TRUE
2173,TRUE
2174,TRUE
2175,TRUE
2176,TRUE
2177,TRUE
2178,TRUE
2179,TRUE
2180,TRUE
2181,TRUE
2182,TRUE
2183,TRUE
2184,TRUE
2185,TRUE
2186,TRUE
2187,TRUE
2188,TRUE
2189,TRUE
2190,TRUE
2191,TRUE
2192,TRUE
2193,TRUE
2194,TRUE
2195,TRUE
2196,TRUE
2197,TRUE
2198,TRUE
2199,TRUE
2200,TRUE
2201,TRUE
2202,TRUE
2203,TRUE
2204,TRUE
2205,TRUE
2206,TRUE
2207,TRUE
2208,TRUE
2209,TRUE
2210,TRUE
2211,TRUE
2212,TRUE
2213,TRUE
2214,TRUE
2215,TRUE
2216,TRUE
2217,TRUE
2218,TRUE
2219,TRUE
2220,TRUE
2221,TRUE
2222,TRUE
2223,TRUE
2224,TRUE
2225,TRUE
2226,TRUE
2227,TRUE
2228,TRUE
2229,TRUE
2230,TRUE
2231,TRUE
2232,TRUE
2233,TRUE
2234,TRUE
2235,TRUE
2236,TRUE
2237,TRUE
2238,TRUE
2239,TRUE
2240,TRUE
2241,TRUE
2242,TRUE
2243,TRUE
2244,TRUE
2245,TRUE
2246,TRUE
2247,TRUE
2248,TRUE
2249,TRUE
2250,TRUE
2251,TRUE
2252,TRUE
2253,TRUE
2254,TRUE
2255,TRUE
2256,TRUE
2257,TRUE
2258,TRUE
2259,TRUE
2260,TRUE
2261,TRUE
2262,TRUE
2263,TRUE
2264,TRUE
2265,TRUE
2266,TRUE
2267,TRUE
2268,TRUE
2269,TRUE
2270,TRUE
2271,TRUE
2272,TRUE
2273,TRUE
2274,TRUE
2275,TRUE
2276,TRUE
2277,TRUE
2278,TRUE
2279,TRUE
2280,TRUE
2281,TRUE
2282,TRUE
2283,TRUE
2284,TRUE
2285,TRUE
2286,TRUE
2287,TRUE
2288,TRUE
2289,TRUE
2290,TRUE
2291,TRUE
2292,TRUE
2293,TRUE
2294,TRUE
2295,TRUE
2296,TRUE
2297,TRUE
2298,TRUE
2299,TRUE
2300,TRUE
2301,TRUE
2302,TRUE
2303,TRUE
2304,TRUE
2305,TRUE
2306,TRUE
2307,TRUE
2308,TRUE
2309,TRUE
2310,TRUE
2311,TRUE
2312,TRUE
2313,TRUE
